scout,jogos_num,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,media_num,variacao_num,preco_num,entrou_em_campo,slug,apelido,apelido_abreviado,nome_x,foto,posicao,status,id,clube_nome,clube_sigla
{},0,88293,1,315,5,5,0,0.0,0.0,3.0,False,neto-pessoa,Neto Pessoa,N. Pessoa,Altemir Cordeiro Pessôa Neto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,Atacante,Contundido,315,CHA,CHA
{},0,141386,1,364,1,6,0,0.0,0.0,1.0,False,marcos-alexandre,Marcos Alexandre,M. Alexandre,Marcos Alexandre Ferreira Campos Filho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,Goleiro,Nulo,364,REM,REM
{'V': 1},1,73481,1,315,6,7,0,7.95,2.24,5.24,True,gilmar-dal-pozzo,Gilmar Dal Pozzo,G. Pozzo,Gilmar Dal Pozzo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,Técnico,Provável,315,CHA,CHA
{},0,72491,1,315,3,6,0,0.0,0.0,3.0,False,bressan,Bressan,Bressan,Matheus Simonete Bressanelli,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,Zagueiro,Nulo,315,CHA,CHA
{},0,141385,1,364,1,6,0,0.0,0.0,1.0,False,joao-victor,João Victor,J. Victor,João Victor Ferreira da Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,Goleiro,Nulo,364,REM,REM
{},0,94286,1,315,5,6,0,0.0,0.0,4.0,False,perotti,Perotti,Perotti,Pedro Henrique Perotti,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,Atacante,Nulo,315,CHA,CHA
{},0,83048,1,315,3,5,0,0.0,0.0,4.0,False,rafael-thyere,Rafael Thyere,R. Thyere,Rafael Thyere de Albuquerque Marques,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,Zagueiro,Contundido,315,CHA,CHA
"{'CA': 1, 'DE': 4, 'GS': 2}",1,71043,1,315,1,7,0,2.2,0.41,2.41,True,leo-vieira,Léo Vieira,L. Vieira,Leonardo da Silva Vieira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,Goleiro,Provável,315,CHA,CHA
"{'DS': 1, 'FC': 1, 'FS': 1}",1,68938,1,315,4,7,0,1.7,-0.31,4.69,True,giovanni-augusto,Giovanni Augusto,G. Augusto,Giovanni Augusto Oliveira Cardoso,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,Meia,Provável,315,CHA,CHA
{},0,68822,1,315,1,6,0,0.0,0.0,3.0,False,rafael-santos,Rafael Santos,R. Santos,Rafael de Carvalho Santos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,Goleiro,Nulo,315,CHA,CHA
{},0,142593,1,364,5,6,0,0.0,0.0,3.0,False,nicolas-ferreira,Nicolás Ferreira,N. Ferreira,Michael Nicolás Ferreira Berrondo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,Atacante,Nulo,364,REM,REM
"{'DS': 1, 'FC': 1, 'FS': 1, 'I': 1}",1,95332,1,315,5,7,0,1.6,0.02,3.02,True,marcinho,Marcinho,Marcinho,Márcio Antônio de Sousa Júnior,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,Atacante,Provável,315,CHA,CHA
